timestamp,open,high,low,close,volume,dollar_volume,trades,taker_base,taker_quote
2023-04-12 15:00:00,1914.45,1922.92,1896.27,1912.19,62407.9957,119361364.258505,68153.0,30593.6354,58521738.391219
2023-04-12 16:00:00,1912.18,1916.97,1906.69,1906.84,17496.6122,33453321.290679,23823.0,8795.5571,16817382.330927
2023-04-12 17:00:00,1906.85,1918.08,1905.11,1914.16,18111.8792,34649817.524883,22724.0,9534.1028,18240212.127355
2023-04-12 18:00:00,1914.17,1919.45,1898.0,1902.94,25269.8103,48214874.444706,35670.0,10596.9285,20219703.425863
2023-04-12 19:00:00,1902.93,1905.64,1893.35,1901.32,20021.1677,38048740.57795,26810.0,9319.929,17712123.044876
2023-04-12 20:00:00,1901.31,1908.84,1900.12,1907.33,9640.8723,18374862.532679,16471.0,4535.231,8643108.412305
2023-04-12 21:00:00,1907.33,1925.0,1905.99,1916.69,15888.5315,30427864.346032,27066.0,8557.5713,16389478.923269
2023-04-12 22:00:00,1916.7,1925.55,1905.0,1913.01,27640.3757,52942583.835298,40238.0,14785.405,28320942.895443
2023-04-12 23:00:00,1913.01,1930.37,1910.79,1917.39,22997.2363,44199484.475668,31777.0,12635.3702,24286334.889636
2023-04-13 00:00:00,1917.4,1920.76,1906.5,1908.42,26556.4139,50809793.49613,27664.0,14334.2803,27419877.64577
2023-04-13 01:00:00,1908.41,1910.65,1899.57,1905.63,16003.9857,30489074.468088,23654.0,7422.9374,14141662.488347
2023-04-13 02:00:00,1905.63,1911.81,1899.55,1907.04,15968.4111,30412618.935105,23380.0,9092.3666,17318643.832963
2023-04-13 03:00:00,1907.03,1917.19,1905.67,1912.43,10952.6091,20933517.648012,19806.0,5978.8034,11427645.00441
2023-04-13 04:00:00,1912.43,1918.18,1910.93,1913.23,8761.6508,16771196.203934,13807.0,4479.933,8575582.205848
2023-04-13 05:00:00,1913.22,1920.19,1912.52,1919.01,8689.0144,16647890.314095,15322.0,5103.7201,9778790.967875
2023-04-13 06:00:00,1919.0,1920.91,1907.77,1910.51,21434.8593,41029078.994492,24210.0,12280.5007,23502819.018971
2023-04-13 07:00:00,1910.5,1925.98,1907.7,1922.01,27056.9585,51852910.292962,28300.0,15612.007,29916066.365859
2023-04-13 08:00:00,1922.01,1978.0,1919.65,1963.18,101649.0721,197898428.585622,142118.0,54166.2403,105453834.469144
2023-04-13 09:00:00,1963.19,1994.04,1963.18,1981.48,82781.9188,164113414.260038,112024.0,43997.2125,87217902.47059
