timestamp,open,high,low,close,volume,dollar_volume,trades,taker_base,taker_quote
2023-04-12 15:00:00,1914.45,1930.37,1893.35,1905.63,262034.8805,500971781.250618,344050.0,131110.948,250712564.57501
2023-04-13 02:00:00,1905.63,1994.04,1899.55,1981.48,277294.4941,539659055.23426,378967.0,150710.7836,293191284.33566
2023-04-13 10:00:00,1981.48,2016.42,1975.63,2009.56,267048.9425,532998647.67705107,349369.0,140678.6935,280781192.4281839
2023-04-13 18:00:00,2009.55,2128.76,2000.78,2117.23,280833.0882,580138374.205965,432810.0,146500.6629,302567266.71497
2023-04-14 02:00:00,2117.23,2124.52,2096.69,2112.13,243558.09149999998,514256564.989809,308042.0,122735.6436,259170078.364773
2023-04-14 10:00:00,2112.12,2125.0,2042.08,2061.45,288603.4939,602182960.0541279,359848.0,146813.4386,306418701.918895
2023-04-14 17:00:00,2061.44,2121.47,2060.56,2088.88,248565.94249999998,519301143.3650861,324920.0,126956.726,265192311.603686
2023-04-15 04:00:00,2088.87,2111.85,2081.6,2095.26,240121.45500000002,503566954.6840379,383176.0,122629.81830000001,257172941.30095804
2023-04-15 23:00:00,2095.27,2141.54,2072.72,2114.66,259080.77719999995,544052043.9712819,427057.0,131983.1253,277173141.600634
2023-04-16 20:00:00,2114.66,2131.77,2072.0,2089.62,240652.9812,505567005.108239,403770.0,118581.83020000001,249144496.00230205
2023-04-17 10:00:00,2089.62,2093.1,2056.25,2079.69,244820.0814,508177460.96248305,370368.0,118078.54250000001,245112649.701304
2023-04-17 23:00:00,2079.69,2125.0,2051.0,2111.83,248562.9973,520947643.85899395,390340.0,124953.4151,261896761.00997
2023-04-18 14:00:00,2111.84,2112.2,2067.0,2069.64,252599.99179999996,527709126.047639,402647.0,119372.3082,249386842.937235
2023-04-19 07:00:00,2069.64,2074.18,1962.06,1975.42,297336.0256,595205229.691628,421279.0,143064.1601,286198602.832443
2023-04-19 11:00:00,1975.43,2007.2,1964.84,1978.88,259606.98940000002,515070701.361189,347227.0,134911.9481,267687355.265241
2023-04-19 19:00:00,1978.88,1987.99,1923.03,1952.65,264372.03500000003,515489749.51615,375283.0,134430.3683,262025994.612223
2023-04-20 05:00:00,1952.65,1982.99,1936.04,1945.91,286161.59040000004,560573228.895235,379831.0,134474.1923,263402191.41889998
2023-04-20 16:00:00,1945.92,1957.27,1914.43,1945.18,260439.49829999998,504696574.380583,393260.0,128919.39280000002,249855585.81882697
2023-04-21 03:00:00,1945.19,1950.06,1890.6,1916.18,275363.6037,528343009.83100003,324715.0,134130.98510000002,257420139.348548
2023-04-21 13:00:00,1916.17,1923.61,1836.61,1842.7,271261.1233,511026250.05635095,343456.0,134526.4779,253604731.14869004
2023-04-21 20:00:00,1842.69,1865.15,1825.0,1850.22,271365.52310000005,502007732.7703302,370526.0,138861.61229999998,256887021.617214
2023-04-22 14:00:00,1850.23,1887.31,1846.45,1874.3,270082.80299999996,504579215.105851,349658.0,141289.36200000002,263908983.114242
2023-04-23 08:00:00,1874.29,1890.0,1836.37,1871.83,276646.9282,515510851.564578,404421.0,140339.16259999998,261574621.67656898
2023-04-24 02:00:00,1871.84,1876.19,1811.16,1814.31,305031.91449999996,563351688.686243,449656.0,143280.77300000004,264611493.228267
2023-04-24 17:00:00,1814.32,1851.64,1805.65,1826.03,281327.1527,513954521.93337697,412307.0,146068.0823,266815736.36853904
2023-04-25 12:00:00,1826.03,1877.86,1801.66,1866.1,272954.0508,501888232.46726394,371147.0,143085.1623,263165202.68491203
2023-04-26 00:00:00,1866.1,1919.72,1858.25,1915.77,289523.35939999996,544794705.236184,319959.0,138948.8282,261490827.24031898
2023-04-26 11:00:00,1915.76,1964.72,1907.86,1946.45,262199.331,509743025.67221594,373918.0,136113.3467,264530665.14828297
2023-04-26 19:00:00,1946.46,1946.99,1785.0,1877.91,297973.9949,551696331.402547,419444.0,147420.5674,272929429.739947
2023-04-26 22:00:00,1877.91,1940.96,1856.0,1898.41,264398.10400000005,502611252.26941,342012.0,135297.60100000002,257009609.25341898
2023-04-27 04:00:00,1898.42,1918.68,1861.85,1884.73,269346.00960000005,508195105.916538,364701.0,146545.3491,276328298.627248
2023-04-27 15:00:00,1884.72,1937.77,1879.0,1913.58,262604.2997,501746183.77731407,348252.0,131400.16830000002,251072627.726107
2023-04-28 01:00:00,1913.57,1923.88,1873.94,1886.8,280698.2795,533524130.645239,397999.0,144043.57960000003,273596114.109699
2023-04-28 16:00:00,1886.8,1918.0,1883.05,1907.8,268116.218,508918502.62901795,486389.0,136644.14919999999,259341072.41261292
2023-04-30 00:00:00,1907.79,1939.0,1892.97,1904.83,272493.391,521555491.164377,429379.0,136444.94530000002,261185855.63181502
2023-04-30 20:00:00,1904.83,1904.83,1823.0,1845.91,272728.42189999996,507306810.958286,399039.0,136923.624,254616635.93024597
2023-05-01 11:00:00,1845.91,1852.08,1806.12,1832.8,275452.36900000006,504189926.688197,396974.0,131832.5366,241284364.962502
2023-05-02 01:00:00,1832.79,1868.9,1822.94,1860.77,274543.0689,505996169.36994195,406806.0,135702.28340000001,249973820.772465
